date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:08	25819/25819	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Nov%202022%2013:06:07%20GMT	https://libguides.wpi.edu/aerospace/organizations	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/aerospace/organizations.html	(from )
18:36:09	230/230	---MCZ	200	added ('OK')	text/plain	date:Thu,%2010%20Nov%202022%2013:06:08%20GMT	https://libguides.wpi.edu/robots.txt		(from )
18:36:10	4513/4513	---M--	200	added ('OK')	image/png	etag:%22dede69717e52c2a82da9cf377135a6e2%22	http://libapps.s3.amazonaws.com/apps/common/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/vin20/libapps.s3.amazonaws.com/apps/common/favicon/apple-touch-icon.png	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:10	1124/1124	---M--	200	added ('OK')	image/png	etag:%2224c2dd6ed207ebf50cd508f75a2bb84d%22	http://libapps.s3.amazonaws.com/apps/common/favicon/favicon-32x32.png	C:/My%20Web%20Sites/vin20/libapps.s3.amazonaws.com/apps/common/favicon/favicon-32x32.png	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:11	658/658	---M--	200	added ('OK')	image/png	etag:%223f5414de2a85ee44f682c5411a31a017%22	http://libapps.s3.amazonaws.com/apps/common/favicon/favicon-16x16.png	C:/My%20Web%20Sites/vin20/libapps.s3.amazonaws.com/apps/common/favicon/favicon-16x16.png	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:11	24761/24761	---MCZ	200	added ('OK')	text/css	etag:W/%2261d87b75-60b9%22	https://libguides.wpi.edu/web/jquery/css/jquery-ui.min.css?2695	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/css/jquery-ui.mindbbf.css	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:12	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%2261d74503-7918%22	https://libguides.wpi.edu/web/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/font-awesome/4.7.0/css/font-awesome.min.css	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:12	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%2261d87b75-6f0%22	https://libguides.wpi.edu/web/slick-1.8.1/slick/slick.css	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/slick-1.8.1/slick/slick.css	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:12	3145/3145	---MCZ	200	added ('OK')	text/css	etag:W/%2261d74503-c49%22	https://libguides.wpi.edu/web/slick-1.8.1/slick/slick-theme.css	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/slick-1.8.1/slick/slick-theme.css	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:13	154466/154466	---MCZ	200	added ('OK')	text/css	etag:W/%226299459e-25b62%22	https://libguides.wpi.edu/web/css2.18.6/lg-public.min.css	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/css2.18.6/lg-public.min.css	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:15	97137/97137	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d74503-17b71%22	https://libguides.wpi.edu/web/jquery/js/1.12.4_jquery.min.js	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/js/1.12.4_jquery.min.js	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:18	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Nov%202022%2021:36:52%20GMT	http://www.wpi.edu/css/13.css	C:/My%20Web%20Sites/vin20/www.wpi.edu/css/13.d.delayed	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:19	253668/253668	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-3dee4%22	http://code.jquery.com/ui/1.12.1/jquery-ui.min.js	C:/My%20Web%20Sites/vin20/code.jquery.com/ui/1.12.1/jquery-ui.min.js	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:19	125444/125444	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262eb02c0-1ea04%22	https://libguides.wpi.edu/web/js2.18.6/lg-public.min.js	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/js2.18.6/lg-public.min.js	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:19	253669/253669	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d87b75-3dee5%22	https://libguides.wpi.edu/web/jquery/js/jquery-ui.min.js?2695	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/js/jquery-ui.mindbbf.js	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:20	33/33	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202022%2013:06:20%20GMT	https://web.wpi.edu/css/13.css	C:/My%20Web%20Sites/vin20/web.wpi.edu/css/13.css	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:21	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20Nov%202022%2005:37:23%20GMT	http://www.wpi.edu/css/9.css	C:/My%20Web%20Sites/vin20/www.wpi.edu/css/9.css	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:21	31/31	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202022%2013:06:21%20GMT	https://web.wpi.edu/css/9.css	C:/My%20Web%20Sites/vin20/web.wpi.edu/css/9.css	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:22	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20Nov%202022%2009:55:41%20GMT	http://www.wpi.edu/css/11.css	C:/My%20Web%20Sites/vin20/www.wpi.edu/css/11.css	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:22	32/32	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202022%2013:06:22%20GMT	https://web.wpi.edu/css/11.css	C:/My%20Web%20Sites/vin20/web.wpi.edu/css/11.css	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:22	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20Nov%202022%2005:37:23%20GMT	http://www.wpi.edu/css/15.css	C:/My%20Web%20Sites/vin20/www.wpi.edu/css/15.css	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:23	32/32	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202022%2013:06:22%20GMT	https://web.wpi.edu/css/15.css	C:/My%20Web%20Sites/vin20/web.wpi.edu/css/15.css	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:23	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20Nov%202022%2001:54:33%20GMT	http://www.wpi.edu/css/17.css	C:/My%20Web%20Sites/vin20/www.wpi.edu/css/17.css	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:23	32/32	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Nov%202022%2013:06:23%20GMT	https://web.wpi.edu/css/17.css	C:/My%20Web%20Sites/vin20/web.wpi.edu/css/17.css	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:24	255/255	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20Nov%202022%2007:34:33%20GMT	http://www.wpi.edu/Images/template/wpilogo.gif	C:/My%20Web%20Sites/vin20/www.wpi.edu/Images/template/wpilogo.gif	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:24	8991/8991	---M--	200	added ('OK')	image/gif	etag:%22231f-506ba1cc66100%22	https://web.wpi.edu/Images/template/wpilogo.gif	C:/My%20Web%20Sites/vin20/web.wpi.edu/Images/template/wpilogo.gif	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:24	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Thu,%2010%20Nov%202022%2013:06:24%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/vin20/translate.google.com/translate_a/element.19a0d8.delayed	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:25	76854/76854	---MC-	200	added ('OK')	text/javascript	date:Thu,%2010%20Nov%202022%2013:06:25%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/vin20/translate.google.com/translate_a/elementa0d8.js	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:27	7252/7252	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261d87b75-1c54%22	https://libguides.wpi.edu/web/js/sa.min.js?3116	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/js/sa.min5819.js	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:30	86818/86818	---M--	200	added ('OK')	image/png	etag:%228b6224a86b9b3dc0a4658791b656f237%22	http://libapps.s3.amazonaws.com/sites/971/banner/WPILib.png	C:/My%20Web%20Sites/vin20/libapps.s3.amazonaws.com/sites/971/banner/WPILib.png	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:30	50955/50955	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Nov%202022%2013:06:28%20GMT	https://libguides.wpi.edu/aerospace/researchdatabases	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/aerospace/researchdatabases.html	(from https://libguides.wpi.edu/aerospace/organizations)
18:36:30	178/178	---M--	200	added ('OK')	image/png	etag:%2261d87b75-b2%22	https://libguides.wpi.edu/web/jquery/css/images/ui-bg_flat_75_ffffff_40x100.png	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/css/images/ui-bg_flat_75_ffffff_40x100.png	(from https://libguides.wpi.edu/web/jquery/css/jquery-ui.min.css?2695)
18:36:31	101/101	---M--	200	added ('OK')	image/png	etag:%2261d74503-65%22	https://libguides.wpi.edu/web/jquery/css/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/css/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from https://libguides.wpi.edu/web/jquery/css/jquery-ui.min.css?2695)
18:36:31	110/110	---M--	200	added ('OK')	image/png	etag:%2261d74503-6e%22	https://libguides.wpi.edu/web/jquery/css/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/css/images/ui-bg_glass_75_e6e6e6_1x400.png	(from https://libguides.wpi.edu/web/jquery/css/jquery-ui.min.css?2695)
18:36:31	111/111	---M--	200	added ('OK')	image/png	etag:%2261d74503-6f%22	https://libguides.wpi.edu/web/jquery/css/images/ui-bg_glass_75_dadada_1x400.png	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/css/images/ui-bg_glass_75_dadada_1x400.png	(from https://libguides.wpi.edu/web/jquery/css/jquery-ui.min.css?2695)
18:36:32	105/105	---M--	200	added ('OK')	image/png	etag:%2261d74503-69%22	https://libguides.wpi.edu/web/jquery/css/images/ui-bg_glass_65_ffffff_1x400.png	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/css/images/ui-bg_glass_65_ffffff_1x400.png	(from https://libguides.wpi.edu/web/jquery/css/jquery-ui.min.css?2695)
18:36:32	120/120	---M--	200	added ('OK')	image/png	etag:%2261d74503-78%22	https://libguides.wpi.edu/web/jquery/css/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/css/images/ui-bg_glass_55_fbf9ee_1x400.png	(from https://libguides.wpi.edu/web/jquery/css/jquery-ui.min.css?2695)
18:36:32	119/119	---M--	200	added ('OK')	image/png	etag:%2261d74503-77%22	https://libguides.wpi.edu/web/jquery/css/images/ui-bg_glass_95_fef1ec_1x400.png	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/css/images/ui-bg_glass_95_fef1ec_1x400.png	(from https://libguides.wpi.edu/web/jquery/css/jquery-ui.min.css?2695)
18:36:33	4369/4369	---M--	200	added ('OK')	image/png	etag:%2261d74503-1111%22	https://libguides.wpi.edu/web/jquery/css/images/ui-icons_222222_256x240.png	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/css/images/ui-icons_222222_256x240.png	(from https://libguides.wpi.edu/web/jquery/css/jquery-ui.min.css?2695)
18:36:33	4369/4369	---M--	200	added ('OK')	image/png	etag:%2261d74503-1111%22	https://libguides.wpi.edu/web/jquery/css/images/ui-icons_888888_256x240.png	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/css/images/ui-icons_888888_256x240.png	(from https://libguides.wpi.edu/web/jquery/css/jquery-ui.min.css?2695)
18:36:33	4369/4369	---M--	200	added ('OK')	image/png	etag:%2261d74503-1111%22	https://libguides.wpi.edu/web/jquery/css/images/ui-icons_454545_256x240.png	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/css/images/ui-icons_454545_256x240.png	(from https://libguides.wpi.edu/web/jquery/css/jquery-ui.min.css?2695)
18:36:34	4369/4369	---M--	200	added ('OK')	image/png	etag:%2261d74503-1111%22	https://libguides.wpi.edu/web/jquery/css/images/ui-icons_2e83ff_256x240.png	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/css/images/ui-icons_2e83ff_256x240.png	(from https://libguides.wpi.edu/web/jquery/css/jquery-ui.min.css?2695)
18:36:34	4369/4369	---M--	200	added ('OK')	image/png	etag:%2261d74503-1111%22	https://libguides.wpi.edu/web/jquery/css/images/ui-icons_cd0a0a_256x240.png	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/css/images/ui-icons_cd0a0a_256x240.png	(from https://libguides.wpi.edu/web/jquery/css/jquery-ui.min.css?2695)
18:36:34	180/180	---M--	200	added ('OK')	image/png	etag:%2261d74503-b4%22	https://libguides.wpi.edu/web/jquery/css/images/ui-bg_flat_0_aaaaaa_40x100.png	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/jquery/css/images/ui-bg_flat_0_aaaaaa_40x100.png	(from https://libguides.wpi.edu/web/jquery/css/jquery-ui.min.css?2695)
18:36:35	4178/4178	---M--	200	added ('OK')	image/gif	etag:%2261d74503-1052%22	https://libguides.wpi.edu/web/slick-1.8.1/slick/ajax-loader.gif	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/slick-1.8.1/slick/ajax-loader.gif	(from https://libguides.wpi.edu/web/slick-1.8.1/slick/slick-theme.css)
18:36:35	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261d74503-800%22	https://libguides.wpi.edu/web/slick-1.8.1/slick/fonts/slick.eot	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/slick-1.8.1/slick/fonts/slick.eot	(from https://libguides.wpi.edu/web/slick-1.8.1/slick/slick-theme.css)
18:36:35	2048/2048	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2261d74503-800%22	https://libguides.wpi.edu/web/slick-1.8.1/slick/fonts/slick.eot?	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/slick-1.8.1/slick/fonts/slickd41d.eot	(from https://libguides.wpi.edu/web/slick-1.8.1/slick/slick-theme.css)
18:36:36	1380/1380	---M--	200	added ('OK')	font/woff	etag:%2261d74503-564%22	https://libguides.wpi.edu/web/slick-1.8.1/slick/fonts/slick.woff	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/slick-1.8.1/slick/fonts/slick.woff	(from https://libguides.wpi.edu/web/slick-1.8.1/slick/slick-theme.css)
18:36:36	1892/1892	---M--	200	added ('OK')	application/octet-stream	etag:%2261d74503-764%22	https://libguides.wpi.edu/web/slick-1.8.1/slick/fonts/slick.ttf	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/slick-1.8.1/slick/fonts/slick.ttf	(from https://libguides.wpi.edu/web/slick-1.8.1/slick/slick-theme.css)
18:36:37	2152/2152	---M--	200	added ('OK')	image/svg+xml	etag:%2261d74503-868%22	https://libguides.wpi.edu/web/slick-1.8.1/slick/fonts/slick.svg	C:/My%20Web%20Sites/vin20/libguides.wpi.edu/web/slick-1.8.1/slick/fonts/slick.svg	(from https://libguides.wpi.edu/web/slick-1.8.1/slick/slick-theme.css)
18:36:41	81479/81479	---M--	200	added ('OK')	image/jpeg	etag:%22933c507de5eec6cabc1b1b9a3099f253%22	https://libapps.s3.amazonaws.com/accounts/310674/images/aero_scr.jpg	C:/My%20Web%20Sites/vin20/libapps.s3.amazonaws.com/accounts/310674/images/aero_scr.jpg	(from https://libguides.wpi.edu/aerospace/researchdatabases)
